,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
318,Scott Roth\rothsc01,1989,1989,1,47,464,52,143,2,10,52,76,20,56,48,19,4,33,55,158,.364,.200,.684,9.9,3.4,1.2,1.0
319,Donald Royal\royaldo01,1992,1992,1,60,718,80,178,0,0,92,133,65,124,34,25,7,39,73,252,.449,,.692,12.0,4.2,2.1,0.6
320,Rubin Russell\russeru01,1968,1968,1,16,157,27,80,2,13,9,18,,23,6,,,23,18,65,.338,.154,.500,9.8,4.1,1.4,0.4
321,Frankie Sanders\sandefr01,1979,1979,1,22,263,50,127,,,32,41,13,59,35,14,3,32,44,132,.394,,.780,12.0,6.0,2.7,1.6
322,Melvin Sanders\sandeme01,2006,2006,1,16,113,16,33,2,3,7,10,4,23,3,5,0,8,20,41,.485,.667,.700,7.1,2.6,1.4,0.2
323,Mike Sanders\sandemi01,1983,1983,1,26,393,76,157,0,2,31,43,31,94,19,18,6,28,57,183,.484,.000,.721,15.1,7.0,3.6,0.7
324,Ron Sanford\sanforo01,1972,1972,1,1,2,0,0,0,0,0,0,0,0,0,,,0,1,0,,,,2.0,0.0,0.0,0.0
325,Jason Sasser\sasseja01,1997,1997,1,6,62,8,19,1,2,0,0,0,7,1,2,0,2,11,17,.421,.500,,10.3,2.8,1.2,0.2
326,Alex Scales\scaleal01,2006,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0
327,Dwayne Schintzius\schindw01,1991,1991,1,42,398,68,155,0,2,22,40,28,121,17,2,29,34,64,158,.439,.000,.550,9.5,3.8,2.9,0.4
328,Shawnelle Scott\scottsh01,2001,2001,1,27,144,17,41,0,0,9,22,23,50,4,5,6,11,23,43,.415,,.409,5.3,1.6,1.9,0.1
329,Willie Scott\scottwi01,1970,1970,1,8,51,6,15,0,0,1,6,2,4,2,,,8,16,13,.400,,.167,6.4,1.6,0.5,0.3
330,John Shumate\shumajo01,1980,1981,2,49,1296,194,391,0,1,168,220,98,301,76,44,40,91,117,556,.496,.000,.764,26.4,11.3,6.1,1.6
331,James Silas\silasja01,1973,1981,9,618,18916,3682,7373,0,11,2926,3424,511,1960,2406,568,99,1476,1628,10290,.499,.000,.855,30.6,16.7,3.2,3.9
