,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
136,Jake Fendley\fendlja01,1952,1953,2,103,1031,86,250,,,115,155,,126,94,,,,200,287,.344,,.742,10.0,2.8,1.2,0.9
137,Bob Ferry\ferrybo01,1961,1964,4,312,7576,1485,3369,,,881,1295,,1968,538,,,,824,3851,.441,,.680,24.3,12.3,6.3,1.7
138,Chris Ford\fordch01,1973,1979,7,485,12985,1803,3901,,,514,712,504,1686,1698,785,108,242,1084,4120,.462,,.722,26.8,8.5,3.5,3.5
139,Fred Foster\fostefr01,1973,1973,1,63,1460,243,627,,,61,87,,183,94,,,,150,547,.388,,.701,23.2,8.7,2.9,1.5
140,Larry Foust\foustla01,1951,1957,7,476,13432,2412,5973,,,2300,3178,,5200,918,,,,1765,7124,.404,,.724,32.9,15.0,10.9,1.9
141,Tremaine Fowlkes\fowlktr01,2004,2004,1,36,261,15,48,1,8,13,18,18,53,14,9,3,12,37,44,.313,.125,.722,7.3,1.2,1.5,0.4
142,Jim Fox\foxji01,1968,1969,2,49,755,79,178,,,64,105,,274,40,,,,107,222,.444,,.610,15.4,4.5,5.6,0.8
143,Jim Fritsche\fritsji01,1955,1955,1,16,151,16,48,,,13,16,,32,4,,,,28,45,.333,,.813,9.4,2.8,2.0,0.3
144,Tony Fuller\fulleto01,1981,1981,1,15,248,24,66,0,1,12,16,13,42,28,10,1,23,25,60,.364,.000,.750,16.5,4.0,2.8,1.9
145,Harry Gallatin\gallaha01,1958,1958,1,72,1990,340,898,,,392,498,,749,86,,,,217,1072,.379,,.787,27.6,14.9,10.4,1.2
146,Langston Galloway\gallola01,2018,2019,2,62,974,134,361,78,233,38,47,14,101,62,36,5,19,45,384,.371,.335,.809,15.7,6.2,1.6,1.0
147,Dave Gambee\gambeda01,1969,1969,1,25,302,60,142,,,49,62,,78,15,,,,60,169,.423,,.790,12.1,6.8,3.1,0.6
148,Michael Gbinije\gbinimi01,2017,2017,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,.100,.000,1.000,3.6,0.4,0.3,0.2
149,Gus Gerard\gerargu01,1978,1979,2,49,811,155,358,,,65,95,50,147,44,36,22,54,96,375,.433,,.684,16.6,7.7,3.0,0.9
150,Mike Gibson\gibsomi01,1986,1986,1,32,161,20,51,0,0,8,11,15,40,5,8,4,6,35,48,.392,,.727,5.0,1.5,1.3,0.2
151,Gerald Glass\glassge01,1993,1993,1,56,777,134,312,7,31,21,33,60,139,68,30,18,30,98,296,.429,.226,.636,13.9,5.3,2.5,1.2
152,Anthony Goldwire\goldwan01,2005,2005,1,9,55,4,15,3,9,7,8,1,8,0,0,0,1,5,18,.267,.333,.875,6.1,2.0,0.9,0.0
153,Ben Gordon\gordobe01,2010,2012,3,196,5259,864,1999,245,647,451,526,81,435,464,131,33,374,439,2424,.432,.379,.857,26.8,12.4,2.2,2.4
154,Litterial Green\greenli01,1997,1997,1,45,311,30,64,0,10,30,47,6,22,41,16,1,15,27,90,.469,.000,.638,6.9,2.0,0.5,0.9
155,Rickey Green\greenri01,1979,1979,1,27,431,67,177,,,45,67,15,40,63,25,1,44,37,179,.379,,.672,16.0,6.6,1.5,2.3
156,Sidney Green\greensi02,1987,1987,1,80,1792,256,542,0,2,119,177,196,653,62,41,50,127,197,631,.472,.000,.672,22.4,7.9,8.2,0.8
157,Dave Greenwood\greenda01,1990,1990,1,37,205,22,52,0,0,16,29,24,78,12,4,9,16,40,60,.423,,.552,5.5,1.6,2.1,0.3
158,Blake Griffin\griffbl01,2018,2019,2,29,980,230,506,62,158,109,144,39,210,175,12,12,74,69,631,.455,.392,.757,33.8,21.8,7.2,6.0
159,Dick Groat\groatdi01,1953,1953,1,26,663,100,272,,,109,138,,86,69,,,,90,309,.368,,.790,25.5,11.9,3.3,2.7
160,Glenn Hagan\hagangl01,1982,1982,1,4,25,3,7,0,0,1,1,2,4,8,3,0,1,7,7,.429,,1.000,6.3,1.8,1.0,2.0
161,Happy Hairston\hairsha01,1968,1970,3,122,4063,751,1591,,,611,842,,1309,157,,,,363,2113,.472,,.726,33.3,17.3,10.7,1.3
162,Lindsay Hairston\hairsli01,1976,1976,1,47,651,104,228,,,65,112,65,179,21,21,32,,84,273,.456,,.580,13.9,5.8,3.8,0.4
